2jbTsiK6DIE Paredes' grand slam propels Detroit in win | Tigers-Indians Game Highlights 8/21/20
2jgQw_YgZ6k Rangers vs. Astros Game Highlights (7/24/21) | MLB Highlights
2kA-K5CpSAc Phillies vs. Marlins Game Highlights (9/3/21) | MLB Highlights
2lFPym2A1eY Dodgers vs. Rockies Game Highlights (7/16/21) | MLB Highlights
2oa1AjB6kZM Dodgers vs. Astros Game Highlights (5/25/21) | MLB Highlights
2pJoZHM_1ME Reds vs. Rockies Game Highlights (5/15/21) | MLB Highlights
2tS10IeHV6s White Sox vs. Blue Jays Game Highlights (8/25/21) | MLB Highlights
2ti6zi162Nk Pirates vs. Padres Game Highlights (5/05/21) | MLB Highlights
2u8LfrDot6Y Braves vs. Dodgers Game Highlights (8/30/21) | MLB Highlights
2vTIybIqplg Royals vs. Mariners Game Highlights (8/29/21) | MLB Highlights
2wH3qrjHjNg Mets vs. Marlins Game Highlights (9/9/21) | MLB Highlights
2wuoc6HAqQY Padres vs. Giants Game Highlights (9/15/21) | MLB  Highlights
2xDME4QrSxI Diamondbacks vs. Phillies Game Highlights (8/28/21) | MLB Highlights
2y3IC_iV3sw Red Sox vs. Mariners Game Highlights (9/15/21) | MLB Highlights
2z_DGSmN7yY Yankees vs. Rays Game Highlights (7/27/21) | MLB Highlights
30CEyhnZ0KQ Yankees vs. Blue Jays Game Highlights (4/14/21) | MLB Highlights
31V2MTLcOfo Braves vs. Mets Game Highlights (6/23/21) | MLB Highlights
32vhUNIx1aY Cardinals vs. Indians Game Highlights (7/27/21) | MLB Highlights
33EtsfceQRM Athletics vs. Red Sox Game Highlights (5/11/21) | MLB Highlights
36DXAeyzYV4 White Sox vs. Brewers Game Highlights (7/24/21) | MLB Highlights
36f8-PQh09k Braves vs. D-backs Game Highlights (9/23/21) | MLB Highlights
38TsWl-NLOo Astros vs. Red Sox ALCS Game 5 Highlights (10/20/21) | MLB Highlights
396VljIK_yQ Marlins vs. Mets Game 1 Highlights (8/31/21) | MLB Highlights
3AsR37lINMw Mets vs. Giants Game Highlights (8/18/21) | MLB Highlights
3BKOiBGvJec Pirates vs. Cardinals Game Highlights (6/25/21) | MLB Highlights
3Htbt9At1-A Tigers vs. Orioles Game Highlights (8/12/21) | MLB Highlights
3JJhZUfnWR8 Erick Fedde twirls gem in 5-0 win vs. Marlins | Nationals-Marlins Game Highlights 9/18/20
3JQHklUODuI Nationals vs. Marlins Game Highlights (8/26/21) | MLB Highlights
3JbiYM8XVsk Ronald Acuna Jr., Marcell Ozuna homer in win over Mets | Mets-Braves Game Highlights 8/1/20
3QImmyltL-0 A's vs. Mariners Game Highlights (6/2/21) | MLB Highlights
